2026-04-16 17:48:33.843 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
2026-04-16 17:48:34.221 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-16 17:48:34.227 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-16 17:48:34.228 [main] INFO  [] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-16 17:48:34.228 [main] INFO  [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-04-16 17:48:34.267 [main] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-16 17:48:34.268 [main] INFO  [] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 902 ms
2026-04-16 17:48:34.405 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-16 17:48:34.485 [main] INFO  [] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@7ee12d58
2026-04-16 17:48:34.486 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-04-16 17:48:34.532 [main] INFO  [] o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
2026-04-16 17:48:34.532 [main] INFO  [] o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
2026-04-16 17:48:34.532 [main] INFO  [] o.f.c.i.license.VersionPrinter - 
2026-04-16 17:48:34.544 [main] INFO  [] org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3306/geo (MySQL 8.0)
2026-04-16 17:48:34.582 [main] INFO  [] o.f.core.internal.command.DbValidate - Successfully validated 57 migrations (execution time 00:00.029s)
2026-04-16 17:48:34.590 [main] INFO  [] o.f.core.internal.command.DbMigrate - Current version of schema `geo`: 56
2026-04-16 17:48:34.592 [main] INFO  [] o.f.core.internal.command.DbMigrate - Schema `geo` is up to date. No migration necessary.
