"id","type","affix_kind","word_text","sort_order","enabled","sub_category","visual_tag","industry_tag","is_manual","is_temporary","approval_status"
"14","decision","prefix","知名的","1060","1","品牌品质类","NULL","NULL","0","0","approved"
"15","decision","prefix","评价高的","1070","1","正向评价类","NULL","NULL","0","0","approved"
"16","decision","prefix","优秀的","1080","1","正向评价类","NULL","NULL","0","0","approved"
"17","decision","prefix","有名的","1090","0","正向评价类","NULL","NULL","0","0","approved"
"18","decision","prefix","值得信赖的","1100","1","正向评价类","NULL","NULL","0","0","approved"
"19","decision","prefix","正规的","1110","1","资质类","NULL","NULL","0","0","approved"
"20","decision","prefix","有保障的","1120","1","资质类","NULL","NULL","0","0","approved"
"21","decision","prefix","经验丰富的","1130","1","资质类","NULL","NULL","0","0","approved"
"22","decision","prefix","服务好的","1140","1","正向评价类","NULL","NULL","0","0","approved"
"24","decision","prefix","排名靠前的","1160","1","品牌品质类","NULL","NULL","0","0","approved"
"26","decision","prefix","值得推荐的","1180","1","正向评价类","NULL","NULL","0","0","approved"
"27","decision","prefix","口碑不错的","1190","0","正向评价类","NULL","NULL","0","0","approved"
"28","decision","prefix","实力强的","1200","1","品牌品质类","NULL","NULL","0","0","approved"
"29","decision","prefix","想找个靠谱的","1210","0","正向评价类","NULL","NULL","0","0","approved"
"30","decision","prefix","有没有好的","1220","0","正向评价类","NULL","NULL","0","0","approved"
"31","decision","prefix","求推荐个靠谱的","1230","0","正向评价类","NULL","NULL","0","0","approved"
"32","decision","prefix","附近靠谱的","1240","1","场景类","NULL","NULL","0","0","approved"
"33","decision","prefix","比较正规的","1250","0","正向评价类","NULL","NULL","0","0","approved"
"34","decision","prefix","比较专业的","1260","0","正向评价类","NULL","NULL","0","0","approved"
"35","decision","prefix","比较出名的","1270","0","正向评价类","NULL","NULL","0","0","approved"
"36","decision","prefix","服务比较好的","1280","0","正向评价类","NULL","NULL","0","0","approved"
"37","decision","prefix","评价比较高的","1290","0","正向评价类","NULL","NULL","0","0","approved"
"38","decision","prefix","做这个比较厉害的","1300","0","正向评价类","NULL","NULL","0","0","approved"
"494","decision","suffix","怎么选","10","1","决策选择类","NULL","NULL","0","0","approved"
"495","decision","suffix","如何选择","20","1","决策选择类","NULL","NULL","0","0","approved"
"496","decision","suffix","选择指南","30","1","指南类","NULL","NULL","0","0","approved"
"497","decision","suffix","选购攻略","40","1","指南类","NULL","NULL","0","0","approved"
"498","decision","suffix","避坑指南","50","1","指南类","NULL","NULL","0","0","approved"
"499","decision","suffix","注意事项","60","1","注意事项类","NULL","NULL","0","0","approved"
"500","decision","suffix","选择标准","70","1","决策依据类","NULL","NULL","0","0","approved"
"501","decision","suffix","判断依据","80","1","决策依据类","NULL","NULL","0","0","approved"
"502","decision","suffix","适合什么人","90","1","决策选择类","NULL","NULL","0","0","approved"
"503","decision","suffix","什么情况下选","100","1","决策选择类","NULL","NULL","0","0","approved"
"504","decision","suffix","选择建议","110","1","决策选择类","NULL","NULL","0","0","approved"
"505","decision","suffix","要注意什么","120","1","注意事项类","NULL","NULL","0","0","approved"
"506","decision","suffix","有什么坑","130","1","注意事项类","NULL","NULL","0","0","approved"
